Order_ID,Product_ID,Product_Category,Quantity,Warehouse_ID,Warehouse_Location,Order_Date,Shipment_Date,Delivery_Date,Stock_Level,Reorder_Level,Supplier_ID,Supplier_Name,Cost_Per_Unit,Total_Cost,Delivery_Status,Delay_Days,Customer_Region,Shipping_Mode,Priority,Month,Year
O100010,P7702,Pharmaceuticals,350,W3,Jeddah,7/7/2022,7/14/2022,7/21/2022,312,154,S342,PrimeDistributors,398.96,139636,Delivered,3,Riyadh,Air,High,7,2022
O100011,P6305,Electronics,337,W4,Jeddah,5/18/2024,5/21/2024,5/31/2024,203,293,S627,WarePro,111.51,37578.87,In Transit,7,Los Angeles,Sea,High,5,2024
O100012,P7846,Furniture,68,W2,Jeddah,9/12/2023,9/16/2023,9/26/2023,148,247,S797,SupplyCo,47.3,3216.4,Pending,7,Dubai,Sea,Low,9,2023
O100013,P7106,Clothing,382,W1,Jeddah,1/16/2024,1/16/2024,1/24/2024,180,181,S359,PrimeDistributors,188.74,72098.68,In Transit,3,Riyadh,Road,High,1,2024
O100014,P5738,Pharmaceuticals,188,W4,Dammam,7/23/2022,7/28/2022,7/31/2022,787,77,S620,SupplyCo,237.4,44631.2,In Transit,1,New York,Air,Low,7,2022
O100015,P8035,Automotive Parts,53,W2,Dammam,7/21/2023,7/25/2023,7/26/2023,517,150,S704,SupplyCo,438.9,23261.7,Delivered,0,Dammam,Road,High,7,2023
O100016,P7702,Clothing,193,W1,Riyadh,5/30/2024,6/2/2024,6/11/2024,762,86,S779,SupplyCo,478.11,92275.23,Cancelled,4,Khobar,Air,High,5,2024
O100017,P1927,Clothing,67,W4,Dammam,2/23/2022,2/23/2022,2/26/2022,769,214,S498,GlobalSupplies,306.11,20509.37,In Transit,0,New York,Air,High,2,2022
O100018,P5588,Food & Beverages,436,W2,Jeddah,10/12/2022,10/15/2022,10/18/2022,855,115,S665,GlobalSupplies,90.83,39601.88,Cancelled,0,Los Angeles,Road,Medium,10,2022
O100019,P2578,Automotive Parts,67,W5,Medina,8/5/2024,8/9/2024,8/14/2024,704,115,S842,WarePro,134.34,9000.78,Delivered,1,Dubai,Air,Low,8,2024
O100020,P1388,Furniture,427,W1,Dammam,4/19/2024,4/25/2024,4/29/2024,727,65,S751,PrimeDistributors,55.44,23672.88,Pending,0,Riyadh,Air,Medium,4,2024
O100021,P9960,Pharmaceuticals,121,W2,Medina,9/9/2021,9/12/2021,9/20/2021,155,144,S903,WarePro,379.11,45872.31,In Transit,4,Madina,Sea,Medium,9,2021
O100022,P6301,Electronics,307,W5,Jeddah,9/3/2021,9/6/2021,9/10/2021,558,278,S881,SupplyCo,425.37,130588.59,In Transit,1,Abu Dhabi,Air,High,9,2021
O100023,P3420,Clothing,465,W2,Medina,4/13/2021,4/16/2021,4/17/2021,573,63,S441,SupplyCo,267.26,124275.9,Cancelled,0,Los Angeles,Sea,Medium,4,2021
O100024,P3960,Pharmaceuticals,200,W3,Dammam,10/18/2021,10/19/2021,10/27/2021,724,86,S681,GlobalSupplies,62.42,12484,In Transit,4,Los Angeles,Road,High,10,2021
O100025,P4607,Furniture,128,W5,Medina,10/26/2022,10/31/2022,11/2/2022,464,148,S215,SupplyCo,213.71,27354.88,In Transit,0,Khobar,Air,Medium,10,2022
O100026,P5846,Automotive Parts,287,W2,Riyadh,12/13/2021,12/15/2021,12/24/2021,885,137,S473,QuickShip,167.74,48141.38,Pending,4,Makkah,Sea,Medium,12,2021
O100027,P3308,Food & Beverages,385,W1,Medina,6/24/2024,7/1/2024,7/2/2024,206,251,S576,QuickShip,300.85,115827.25,Cancelled,0,Khobar,Road,Medium,6,2024
O100028,P6209,Clothing,42,W1,Jeddah,3/19/2024,3/20/2024,3/22/2024,107,283,S243,SupplyCo,476,19992,In Transit,0,Makkah,Road,Low,3,2024
O100029,P6580,Pharmaceuticals,414,W5,Dammam,5/24/2021,5/29/2021,6/6/2021,766,273,S620,SupplyCo,384.78,159298.92,In Transit,6,Makkah,Road,High,5,2021
O100030,P9320,Furniture,421,W3,Medina,2/26/2022,2/28/2022,3/9/2022,677,167,S250,GlobalSupplies,174.59,73502.39,Pending,4,Abha,Road,Low,2,2022
O100031,P3917,Electronics,344,W3,Dammam,12/20/2023,12/24/2023,12/27/2023,813,64,S434,PrimeDistributors,100.6,34606.4,Cancelled,0,Khobar,Air,Low,12,2023
O100032,P1137,Clothing,59,W4,Medina,11/1/2024,11/4/2024,11/8/2024,213,168,S895,WarePro,498.76,29426.84,Delivered,2,Tabuk,Rail,Medium,11,2024
O100033,P8832,Furniture,283,W1,Riyadh,9/16/2021,9/19/2021,9/20/2021,746,171,S912,WarePro,313.62,88754.46,Cancelled,0,Riyadh,Rail,Medium,9,2021
O100034,P7995,Automotive Parts,164,W2,Jeddah,3/3/2021,3/10/2021,3/18/2021,595,100,S389,WarePro,422.06,69217.84,Delivered,6,Abha,Sea,High,3,2021
O100035,P6906,Furniture,282,W3,Mecca,6/17/2021,6/22/2021,7/2/2021,38,198,S925,WarePro,5.17,1457.94,In Transit,6,Makkah,Road,Low,6,2021
O100036,P4867,Pharmaceuticals,314,W4,Mecca,5/26/2022,5/29/2022,6/2/2022,919,120,S925,WarePro,248.43,78007.02,In Transit,1,Tabuk,Sea,Medium,5,2022
O100037,P7631,Pharmaceuticals,345,W3,Mecca,6/3/2021,6/8/2021,6/16/2021,563,155,S690,QuickShip,297.43,102613.35,In Transit,5,New York,Sea,Medium,6,2021
O100038,P2558,Clothing,59,W2,Dammam,6/1/2024,6/8/2024,6/11/2024,718,142,S764,PrimeDistributors,294.35,17366.65,Cancelled,0,Makkah,Sea,Medium,6,2024
O100039,P8171,Automotive Parts,361,W2,Medina,11/3/2023,11/10/2023,11/13/2023,717,245,S207,SupplyCo,321,115881,Cancelled,0,Madina,Road,Medium,11,2023
O100040,P5409,Clothing,327,W3,Riyadh,7/25/2022,7/25/2022,8/3/2022,527,51,S866,WarePro,154.11,50393.97,Delivered,5,Dubai,Air,Medium,7,2022
O100041,P3939,Clothing,279,W4,Dammam,2/15/2023,2/15/2023,2/24/2023,625,71,S426,QuickShip,366.46,102242.34,Cancelled,6,Khobar,Rail,High,2,2023
O100042,P4893,Food & Beverages,417,W3,Medina,2/16/2024,2/18/2024,2/22/2024,683,86,S105,WarePro,45.06,18790.02,Pending,1,Abu Dhabi,Rail,High,2,2024
O100043,P1582,Food & Beverages,207,W3,Dammam,5/20/2022,5/21/2022,5/29/2022,52,195,S977,GlobalSupplies,291.01,60239.07,Cancelled,6,Abha,Rail,High,5,2022
O100044,P4345,Clothing,356,W5,Mecca,7/9/2024,7/16/2024,7/24/2024,900,201,S665,GlobalSupplies,395.56,140819.36,Cancelled,4,Madina,Sea,Medium,7,2024
O100045,P1346,Pharmaceuticals,211,W1,Mecca,3/29/2022,4/1/2022,4/7/2022,958,179,S640,QuickShip,71.67,15122.37,Pending,2,Dubai,Sea,Medium,3,2022
O100046,P5598,Automotive Parts,329,W4,Dammam,8/10/2022,8/13/2022,8/22/2022,587,141,S387,PrimeDistributors,441.59,145283.11,Cancelled,4,Abu Dhabi,Road,High,8,2022
O100047,P7666,Furniture,118,W2,Mecca,11/9/2024,11/12/2024,11/22/2024,818,57,S405,GlobalSupplies,336.81,39743.58,Delivered,6,Makkah,Road,High,11,2024
O100048,P5231,Clothing,136,W3,Riyadh,9/11/2023,9/12/2023,9/17/2023,122,200,S210,SupplyCo,50.32,6843.52,Pending,0,Jazan,Road,Medium,9,2023
O100049,P9254,Automotive Parts,251,W4,Medina,3/23/2025,3/29/2025,4/7/2025,157,236,S695,WarePro,224.69,56397.19,Delivered,5,Dammam,Road,Medium,3,2025
O100050,P2737,Pharmaceuticals,471,W5,Dammam,12/2/2023,12/7/2023,12/14/2023,951,139,S717,QuickShip,32.41,15265.11,Cancelled,3,Los Angeles,Rail,Medium,12,2023
O100051,P6506,Pharmaceuticals,402,W2,Riyadh,5/10/2022,5/13/2022,5/18/2022,256,78,S574,PrimeDistributors,463.6,186367.2,In Transit,0,Dammam,Sea,High,5,2022
O100052,P9521,Clothing,499,W1,Riyadh,11/6/2024,11/11/2024,11/19/2024,304,279,S261,SupplyCo,438.95,219036.05,Cancelled,4,Madina,Rail,Low,11,2024
O100053,P8849,Pharmaceuticals,130,W4,Mecca,3/10/2024,3/16/2024,3/26/2024,897,260,S656,QuickShip,406.29,52817.7,Delivered,7,Jazan,Air,Medium,3,2024
O100054,P2396,Furniture,76,W4,Mecca,6/19/2023,6/21/2023,6/29/2023,569,159,S713,WarePro,177.52,13491.52,Pending,5,Los Angeles,Air,Medium,6,2023
O100055,P4719,Pharmaceuticals,413,W3,Riyadh,5/11/2022,5/14/2022,5/24/2022,985,240,S778,QuickShip,234.73,96943.49,In Transit,5,Tabuk,Rail,High,5,2022
O100056,P5933,Furniture,153,W3,Medina,7/6/2021,7/7/2021,7/9/2021,265,167,S690,PrimeDistributors,57.5,8797.5,Pending,0,Makkah,Air,Low,7,2021
O100057,P1706,Clothing,437,W5,Medina,4/4/2021,4/8/2021,4/18/2021,871,260,S760,SupplyCo,194.06,84804.22,In Transit,5,Makkah,Air,High,4,2021
O100058,P7338,Electronics,482,W5,Mecca,9/14/2023,9/18/2023,9/28/2023,43,266,S764,GlobalSupplies,296.35,142840.7,Pending,6,Jazan,Rail,Low,9,2023
O100059,P6420,Electronics,14,W4,Jeddah,8/22/2021,8/25/2021,8/27/2021,663,227,S911,QuickShip,72.81,1019.34,Pending,0,New York,Air,Medium,8,2021
O100060,P4237,Furniture,54,W4,Dammam,2/4/2022,2/4/2022,2/13/2022,756,275,S786,GlobalSupplies,252.38,13628.52,Delivered,5,Los Angeles,Road,Medium,2,2022
O100061,P5345,Pharmaceuticals,414,W2,Jeddah,12/13/2021,12/13/2021,12/22/2021,180,50,S282,GlobalSupplies,187.25,77521.5,Cancelled,4,Riyadh,Air,Medium,12,2021
O100062,P1079,Clothing,205,W5,Mecca,6/16/2025,6/21/2025,6/26/2025,636,260,S588,PrimeDistributors,347.55,71247.75,Pending,1,Dubai,Road,Low,6,2025
O100063,P7197,Furniture,21,W3,Dammam,10/7/2022,10/10/2022,10/14/2022,136,81,S677,WarePro,338.52,7108.92,In Transit,0,Tabuk,Rail,Medium,10,2022
O100064,P2141,Pharmaceuticals,244,W5,Jeddah,3/26/2025,3/31/2025,4/2/2025,65,234,S188,QuickShip,65.36,15947.84,Cancelled,0,Madina,Rail,Medium,3,2025
O100065,P3969,Pharmaceuticals,488,W1,Mecca,1/7/2025,1/7/2025,1/16/2025,187,167,S199,QuickShip,304.89,148786.32,Pending,7,Khobar,Road,Low,1,2025
O100066,P6167,Pharmaceuticals,326,W2,Medina,1/20/2023,1/24/2023,1/28/2023,644,111,S337,GlobalSupplies,34.92,11383.92,Delivered,2,Abha,Sea,Low,1,2023
O100067,P1252,Automotive Parts,312,W2,Medina,12/29/2024,12/29/2024,1/4/2025,821,123,S524,SupplyCo,495.98,154745.76,Cancelled,3,Tabuk,Air,Low,12,2024
O100068,P4615,Furniture,28,W5,Jeddah,9/29/2023,10/2/2023,10/6/2023,54,54,S871,GlobalSupplies,225.61,6317.08,Pending,2,Dubai,Road,High,9,2023
O100069,P1612,Clothing,174,W4,Riyadh,2/20/2024,2/26/2024,3/3/2024,419,141,S956,GlobalSupplies,408.95,71157.3,In Transit,3,Dammam,Air,Medium,2,2024
O100070,P2185,Electronics,257,W1,Jeddah,6/15/2022,6/16/2022,6/24/2022,790,161,S893,SupplyCo,423.26,108777.82,Delivered,6,Jazan,Sea,High,6,2022
O100071,P2916,Clothing,294,W2,Dammam,11/4/2024,11/4/2024,11/10/2024,275,157,S594,QuickShip,390.92,114930.48,Pending,1,Makkah,Road,High,11,2024
O100072,P3228,Electronics,351,W4,Mecca,6/16/2025,6/23/2025,6/29/2025,648,153,S762,PrimeDistributors,164.19,57630.69,Pending,4,Makkah,Road,Low,6,2025
O100073,P9103,Pharmaceuticals,277,W1,Medina,3/11/2024,3/12/2024,3/18/2024,339,224,S152,QuickShip,246.17,68189.09,Delivered,3,Tabuk,Sea,Medium,3,2024
O100074,P7483,Automotive Parts,406,W5,Riyadh,8/28/2021,8/28/2021,9/3/2021,857,224,S839,SupplyCo,311.21,126351.26,In Transit,1,Riyadh,Air,Low,8,2021
O100075,P4497,Electronics,498,W4,Dammam,3/5/2025,3/5/2025,3/9/2025,144,82,S620,QuickShip,214.07,106606.86,Delivered,1,Madina,Air,Low,3,2025
O100076,P8465,Clothing,106,W5,Dammam,12/19/2021,12/24/2021,12/27/2021,168,140,S214,SupplyCo,172.89,18326.34,Delivered,0,Tabuk,Road,High,12,2021
O100077,P6459,Food & Beverages,176,W2,Mecca,7/30/2024,8/2/2024,8/11/2024,495,245,S744,SupplyCo,15.48,2724.48,Cancelled,7,Dammam,Sea,Medium,7,2024
O100078,P3963,Clothing,181,W3,Dammam,8/10/2022,8/14/2022,8/17/2022,379,267,S902,QuickShip,271.49,49139.69,Cancelled,0,Jazan,Rail,High,8,2022
O100079,P4427,Furniture,308,W1,Dammam,11/10/2024,11/11/2024,11/13/2024,88,205,S512,WarePro,22.68,6985.44,Delivered,0,Riyadh,Sea,Low,11,2024
O100080,P5074,Automotive Parts,78,W1,Dammam,11/25/2021,11/25/2021,12/5/2021,42,110,S109,SupplyCo,356.68,27821.04,Delivered,8,Abha,Sea,Medium,11,2021
O100081,P5886,Electronics,244,W4,Riyadh,3/30/2021,4/2/2021,4/10/2021,227,267,S484,PrimeDistributors,159.9,39015.6,Pending,6,Madina,Sea,Medium,3,2021
O100082,P7057,Automotive Parts,173,W5,Riyadh,11/20/2022,11/24/2022,12/2/2022,783,189,S537,QuickShip,209.33,36214.09,Cancelled,4,New York,Road,Low,11,2022
O100083,P2804,Automotive Parts,127,W1,Dammam,7/22/2021,7/22/2021,7/26/2021,917,139,S978,PrimeDistributors,402.12,51069.24,Cancelled,0,Los Angeles,Rail,Low,7,2021
O100084,P5463,Furniture,434,W1,Mecca,3/30/2021,4/4/2021,4/7/2021,577,97,S522,QuickShip,251.5,109151,Pending,0,New York,Road,Low,3,2021
O100085,P1846,Pharmaceuticals,224,W1,Mecca,3/9/2021,3/9/2021,3/19/2021,906,267,S935,SupplyCo,201.05,45035.2,In Transit,6,Madina,Road,Low,3,2021
O100086,P9765,Food & Beverages,151,W5,Jeddah,5/13/2024,5/17/2024,5/21/2024,17,78,S597,QuickShip,250.81,37872.31,Pending,0,Los Angeles,Air,Medium,5,2024
O100087,P7682,Automotive Parts,361,W1,Mecca,1/16/2025,1/21/2025,1/22/2025,309,187,S719,QuickShip,431.55,155789.55,In Transit,0,Abha,Sea,Medium,1,2025
O100088,P4289,Pharmaceuticals,199,W5,Mecca,11/5/2023,11/11/2023,11/12/2023,436,139,S505,GlobalSupplies,196.67,39137.33,Pending,0,Madina,Rail,High,11,2023
O100089,P4056,Furniture,30,W5,Medina,11/2/2021,11/8/2021,11/18/2021,171,169,S550,PrimeDistributors,140.2,4206,Pending,7,Khobar,Air,High,11,2021
O100090,P1587,Furniture,325,W5,Medina,4/15/2021,4/18/2021,4/28/2021,642,111,S356,SupplyCo,220.43,71639.75,Delivered,7,Abha,Road,High,4,2021
O100091,P1584,Automotive Parts,50,W5,Mecca,1/2/2021,1/7/2021,1/13/2021,284,219,S891,QuickShip,99.93,4996.5,Delivered,3,Riyadh,Sea,Low,1,2021
O100092,P7615,Furniture,278,W5,Mecca,2/1/2025,2/8/2025,2/13/2025,331,97,S633,WarePro,362.33,100727.74,In Transit,2,Abha,Road,Low,2,2025
O100093,P9675,Electronics,410,W5,Jeddah,9/14/2024,9/16/2024,9/24/2024,15,154,S995,SupplyCo,166.05,68080.5,Delivered,3,Tabuk,Sea,Medium,9,2024
O100094,P1639,Pharmaceuticals,63,W3,Dammam,5/3/2024,5/8/2024,5/15/2024,959,225,S876,WarePro,302.51,19058.13,Delivered,4,Los Angeles,Air,High,5,2024
O100095,P2334,Pharmaceuticals,379,W3,Medina,9/30/2021,10/7/2021,10/9/2021,623,193,S224,GlobalSupplies,360.71,136709.09,In Transit,0,Abu Dhabi,Air,High,9,2021
O100096,P8755,Food & Beverages,260,W3,Riyadh,11/20/2024,11/26/2024,11/30/2024,748,227,S649,QuickShip,178.02,46285.2,Pending,2,Riyadh,Road,Low,11,2024
O100097,P3888,Clothing,49,W2,Dammam,7/29/2024,8/1/2024,8/11/2024,391,135,S550,SupplyCo,200.55,9826.95,In Transit,6,Los Angeles,Road,Low,7,2024
O100098,P8443,Automotive Parts,131,W2,Dammam,4/23/2023,4/25/2023,4/27/2023,734,213,S551,SupplyCo,23.4,3065.4,Pending,0,Tabuk,Road,Medium,4,2023
O100099,P6620,Clothing,302,W5,Mecca,5/12/2023,5/16/2023,5/19/2023,72,143,S916,WarePro,384.36,116076.72,Pending,0,Khobar,Road,Medium,5,2023
O100100,P4485,Clothing,28,W3,Dammam,6/16/2025,6/20/2025,6/22/2025,150,162,S856,GlobalSupplies,487.49,13649.72,Pending,0,New York,Air,Low,6,2025
O100101,P3812,Electronics,161,W3,Medina,5/6/2021,5/13/2021,5/22/2021,606,212,S752,GlobalSupplies,21.85,3517.85,Cancelled,5,Makkah,Rail,High,5,2021
O100102,P7615,Pharmaceuticals,144,W5,Jeddah,5/4/2024,5/10/2024,5/13/2024,499,155,S817,WarePro,442.9,63777.6,Cancelled,1,Tabuk,Road,Medium,5,2024
O100103,P1228,Food & Beverages,424,W4,Jeddah,1/21/2021,1/26/2021,2/1/2021,704,126,S897,WarePro,478.71,202973.04,Delivered,2,Jazan,Rail,High,1,2021
O100104,P6297,Automotive Parts,148,W1,Riyadh,12/22/2022,12/22/2022,12/26/2022,311,196,S423,SupplyCo,459.62,68023.76,Pending,0,Dubai,Air,High,12,2022
O100105,P1544,Electronics,108,W1,Mecca,5/28/2024,5/30/2024,5/31/2024,172,208,S986,GlobalSupplies,105.47,11390.76,Pending,0,New York,Rail,High,5,2024
O100106,P8548,Furniture,448,W4,Medina,4/9/2021,4/14/2021,4/19/2021,88,116,S317,SupplyCo,377.46,169102.08,Cancelled,0,Khobar,Air,High,4,2021
O100107,P1809,Food & Beverages,180,W3,Riyadh,3/31/2024,4/5/2024,4/9/2024,248,134,S684,GlobalSupplies,56.38,10148.4,In Transit,0,Los Angeles,Rail,Medium,3,2024
O100108,P6355,Electronics,158,W5,Mecca,4/5/2024,4/10/2024,4/19/2024,14,86,S847,PrimeDistributors,128.64,20325.12,In Transit,6,Riyadh,Road,High,4,2024
O100109,P6639,Pharmaceuticals,389,W4,Medina,10/6/2021,10/11/2021,10/18/2021,866,152,S452,GlobalSupplies,347.65,135235.85,In Transit,3,Los Angeles,Rail,High,10,2021
O100110,P4196,Clothing,464,W2,Dammam,12/27/2022,12/30/2022,1/2/2023,233,259,S715,SupplyCo,8.61,3995.04,Pending,0,Madina,Air,Low,12,2022
O100111,P6333,Furniture,151,W3,Dammam,8/25/2023,8/27/2023,8/29/2023,811,107,S219,GlobalSupplies,377.64,57023.64,Pending,0,Dubai,Sea,High,8,2023
O100112,P9895,Clothing,229,W5,Jeddah,3/10/2022,3/14/2022,3/23/2022,606,165,S352,QuickShip,298.04,68251.16,In Transit,7,Makkah,Air,Low,3,2022
O100113,P6446,Furniture,270,W4,Mecca,4/18/2025,4/18/2025,4/19/2025,176,233,S825,PrimeDistributors,369.9,99873,In Transit,0,Khobar,Rail,Low,4,2025
O100114,P2734,Furniture,194,W2,Medina,9/22/2021,9/28/2021,9/29/2021,732,131,S216,SupplyCo,317.6,61614.4,Cancelled,0,Jazan,Air,Low,9,2021
O100115,P7671,Clothing,229,W1,Riyadh,6/8/2023,6/15/2023,6/21/2023,3,238,S710,SupplyCo,488.5,111866.5,Delivered,1,Los Angeles,Road,Medium,6,2023
O100116,P1575,Electronics,45,W5,Mecca,10/10/2022,10/13/2022,10/14/2022,48,118,S556,WarePro,64.83,2917.35,Delivered,0,Jazan,Air,Medium,10,2022
O100117,P8971,Furniture,286,W4,Medina,4/14/2024,4/16/2024,4/21/2024,590,96,S829,WarePro,125.04,35761.44,Pending,0,Los Angeles,Air,High,4,2024
O100118,P3381,Food & Beverages,318,W1,Medina,5/29/2022,5/30/2022,6/9/2022,837,240,S795,SupplyCo,434.28,138101.04,Pending,7,Riyadh,Air,High,5,2022
O100119,P7206,Food & Beverages,167,W3,Riyadh,7/7/2023,7/14/2023,7/24/2023,999,254,S223,GlobalSupplies,59.15,9878.05,Pending,7,Khobar,Air,High,7,2023
O100120,P9958,Clothing,68,W3,Riyadh,1/20/2022,1/26/2022,1/27/2022,297,200,S913,GlobalSupplies,97.7,6643.6,Cancelled,0,Tabuk,Road,High,1,2022
O100121,P2592,Furniture,25,W1,Riyadh,10/29/2024,11/3/2024,11/5/2024,336,191,S325,QuickShip,93.83,2345.75,In Transit,0,Jazan,Rail,Medium,10,2024
O100122,P6553,Pharmaceuticals,120,W1,Medina,6/21/2024,6/21/2024,6/29/2024,869,235,S398,SupplyCo,365.22,43826.4,In Transit,3,Madina,Road,Medium,6,2024
O100123,P5957,Pharmaceuticals,134,W3,Dammam,12/13/2024,12/18/2024,12/28/2024,965,78,S895,SupplyCo,149.55,20039.7,Delivered,6,Dammam,Road,High,12,2024
O100124,P5978,Food & Beverages,249,W1,Medina,8/18/2021,8/19/2021,8/22/2021,255,191,S810,SupplyCo,354.35,88233.15,Cancelled,1,Madina,Road,Low,8,2021
O100125,P8627,Electronics,206,W1,Jeddah,11/17/2024,11/24/2024,11/25/2024,996,163,S233,SupplyCo,240.44,49530.64,In Transit,0,Khobar,Air,Medium,11,2024
O100126,P8075,Clothing,52,W5,Medina,8/8/2021,8/10/2021,8/12/2021,737,212,S470,WarePro,131.85,6856.2,Delivered,0,Makkah,Air,Low,8,2021
O100127,P6240,Automotive Parts,330,W3,Riyadh,5/22/2022,5/22/2022,5/26/2022,834,165,S330,QuickShip,142.57,47048.1,Pending,0,New York,Rail,High,5,2022
O100128,P7505,Pharmaceuticals,243,W2,Medina,6/20/2022,6/21/2022,6/27/2022,251,68,S589,PrimeDistributors,361.24,87781.32,Cancelled,1,Makkah,Rail,Low,6,2022
O100129,P8380,Pharmaceuticals,214,W4,Jeddah,3/15/2022,3/21/2022,3/23/2022,61,100,S795,SupplyCo,406.47,86984.58,In Transit,0,Madina,Air,Medium,3,2022
O100130,P9633,Furniture,219,W3,Jeddah,5/6/2024,5/7/2024,5/9/2024,908,236,S247,GlobalSupplies,218.81,47919.39,Delivered,0,Madina,Road,Low,5,2024
O100131,P2614,Food & Beverages,466,W1,Dammam,12/29/2024,1/2/2025,1/5/2025,265,134,S641,WarePro,158.83,74014.78,Delivered,0,Dammam,Rail,High,12,2024
O100132,P2960,Automotive Parts,29,W4,Mecca,10/15/2024,10/16/2024,10/25/2024,401,76,S218,WarePro,146.67,4253.43,In Transit,7,Riyadh,Road,Low,10,2024
O100133,P8380,Clothing,440,W4,Riyadh,5/12/2024,5/18/2024,5/24/2024,292,165,S655,PrimeDistributors,169.51,74584.4,Delivered,2,Makkah,Rail,Medium,5,2024
O100134,P8880,Furniture,463,W3,Mecca,1/12/2023,1/17/2023,1/20/2023,903,272,S219,GlobalSupplies,15.63,7236.69,Cancelled,0,Dammam,Sea,High,1,2023
O100135,P1035,Furniture,72,W5,Mecca,12/27/2022,1/3/2023,1/10/2023,195,134,S111,QuickShip,244.75,17622,Cancelled,4,Los Angeles,Air,High,12,2022
O100136,P1138,Clothing,369,W5,Mecca,1/6/2025,1/9/2025,1/11/2025,724,292,S391,GlobalSupplies,257,94833,In Transit,0,Dammam,Sea,Medium,1,2025
O100137,P1199,Pharmaceuticals,217,W5,Riyadh,11/23/2021,11/27/2021,11/30/2021,532,114,S939,SupplyCo,322.07,69889.19,Pending,1,Tabuk,Road,Medium,11,2021
O100138,P2385,Clothing,394,W5,Dammam,6/13/2025,6/17/2025,6/21/2025,655,182,S556,PrimeDistributors,47.17,18584.98,Pending,2,Abha,Rail,Low,6,2025
O100139,P5068,Clothing,202,W2,Medina,4/14/2021,4/16/2021,4/19/2021,387,275,S568,QuickShip,279.75,56509.5,Cancelled,0,Tabuk,Road,High,4,2021
O100140,P9448,Clothing,493,W1,Jeddah,11/14/2021,11/19/2021,11/25/2021,515,238,S334,PrimeDistributors,384.73,189671.89,Delivered,1,Los Angeles,Sea,High,11,2021
O100141,P7521,Food & Beverages,243,W1,Riyadh,8/24/2021,8/28/2021,8/31/2021,611,174,S370,QuickShip,273.6,66484.8,In Transit,1,Abha,Air,Low,8,2021
O100142,P5341,Furniture,248,W2,Riyadh,5/9/2024,5/12/2024,5/13/2024,252,250,S738,SupplyCo,29.69,7363.12,In Transit,0,Jazan,Sea,Medium,5,2024
O100143,P5390,Pharmaceuticals,222,W5,Mecca,6/30/2025,6/30/2025,7/6/2025,631,230,S170,WarePro,403.72,89625.84,In Transit,2,Makkah,Sea,Low,6,2025
O100144,P6041,Clothing,475,W5,Mecca,5/28/2024,5/30/2024,6/5/2024,233,297,S828,WarePro,352.59,167480.25,Pending,4,Dammam,Air,Medium,5,2024
O100145,P8405,Automotive Parts,33,W4,Medina,5/8/2024,5/13/2024,5/17/2024,162,71,S868,SupplyCo,381.8,12599.4,Cancelled,1,Los Angeles,Sea,Low,5,2024
O100146,P2496,Automotive Parts,4,W3,Riyadh,10/8/2021,10/15/2021,10/21/2021,883,221,S937,SupplyCo,102.1,408.4,In Transit,4,Los Angeles,Air,Low,10,2021
